    0	  1245.5	   310.0	   397.8	   339.6	   198.1
    1	  1251.5	   311.0	   403.0	   340.4	   197.1
    2	  1258.4	   312.1	   406.4	   342.7	   197.1
    3	  1267.3	   313.5	   412.1	   345.2	   196.5
    4	  1277.7	   314.0	   417.6	   348.2	   197.9
    5	  1286.7	   314.5	   421.3	   351.5	   199.5
    6	  1291.0	   315.6	   424.0	   353.0	   198.4
    7	  1298.5	   316.8	   428.6	   354.4	   198.7
    8	  1302.4	   318.2	   431.5	   354.4	   198.4
    9	  1311.2	   320.8	   433.8	   356.0	   200.6
   10	  1315.8	   320.3	   436.9	   357.4	   201.2
   11	  1326.1	   321.1	   439.8	   360.8	   204.4
   12	  1324.7	   322.1	   441.3	   358.0	   203.3
   13	  1328.2	   322.7	   443.5	   358.4	   203.6
   14	  1331.4	   323.2	   444.4	   360.7	   203.2
   15	  1337.6	   325.3	   445.4	   362.6	   204.3
   16	  1340.6	   326.3	   447.7	   361.4	   205.3
   17	  1343.0	   326.7	   449.1	   362.8	   204.4
   18	  1345.3	   327.3	   451.6	   362.0	   204.5
   19	  1351.2	   328.8	   452.4	   363.7	   206.3
   20	  1356.2	   328.6	   454.7	   364.1	   208.8
   21	  1359.8	   330.8	   455.2	   366.1	   207.7
   22	  1361.4	   330.0	   456.2	   364.7	   210.5
   23	  1368.6	   331.6	   456.5	   365.9	   214.6
   24	  1368.7	   331.6	   457.6	   365.9	   213.6
   25	  1371.3	   332.6	   457.2	   365.3	   216.2
   26	  1373.5	   332.4	   457.9	   366.6	   216.7
   27	  1376.2	   333.7	   458.5	   366.2	   217.8
   28	  1374.2	   333.6	   459.1	   365.5	   216.1
   29	  1377.1	   333.8	   458.9	   368.2	   216.1
   30	  1372.1	   335.1	   456.6	   365.1	   215.3
   31	  1374.4	   335.2	   456.6	   366.2	   216.4
   32	  1377.2	   335.6	   457.4	   367.4	   216.8
   33	  1374.3	   335.4	   455.8	   365.0	   218.1
   34	  1370.6	   334.3	   454.7	   365.1	   216.6
   35	  1372.7	   335.4	   454.5	   364.3	   218.6
   36	  1374.7	   335.6	   453.6	   367.3	   218.3
   37	  1371.1	   335.6	   453.4	   364.3	   217.7
   38	  1372.8	   334.4	   452.7	   367.5	   218.1
   39	  1369.1	   333.7	   451.8	   365.6	   218.0
   40	  1366.9	   334.8	   450.3	   365.0	   216.8
   41	  1367.0	   335.2	   449.0	   367.1	   215.7
   42	  1363.3	   335.5	   447.3	   363.8	   216.7
   43	  1358.9	   334.4	   446.2	   364.3	   214.0
   44	  1354.1	   334.9	   444.4	   361.0	   213.7
   45	  1352.4	   334.2	   443.7	   359.4	   215.1
   46	  1351.9	   335.6	   442.8	   358.0	   215.5
   47	  1347.6	   337.2	   441.1	   357.0	   212.2
   48	  1344.9	   336.4	   439.2	   356.8	   212.5
   49	  1342.2	   335.9	   438.0	   355.0	   213.3
   50	  1340.3	   335.6	   436.2	   356.3	   212.3
   51	  1334.4	   335.4	   433.9	   352.7	   212.3
   52	  1338.8	   336.1	   432.8	   356.9	   213.1
   53	  1330.9	   337.0	   430.6	   352.6	   210.7
   54	  1326.9	   335.3	   428.7	   352.7	   210.3
   55	  1325.7	   337.4	   427.8	   350.8	   209.7
   56	  1320.0	   334.1	   427.2	   349.4	   209.3
   57	  1317.3	   334.2	   425.6	   349.4	   208.0
   58	  1312.6	   332.8	   422.7	   349.3	   207.9
   59	  1308.4	   332.8	   419.1	   347.7	   208.9
   60	  1301.6	   332.8	   415.2	   346.3	   207.3
   61	  1297.5	   331.9	   412.3	   346.2	   207.0
